日付け,終値,始値,高値,安値,前日比%
2021年1月21日,1.3732,1.3655,1.3747,1.365,0.58%
2021年1月20日,1.3653,1.3629,1.372,1.3622,0.18%
2021年1月19日,1.3628,1.3587,1.3637,1.3572,0.32%
2021年1月18日,1.3584,1.3594,1.3599,1.352,-0.01%
2021年1月15日,1.3586,1.3688,1.37,1.3571,-0.74%
2021年1月14日,1.3687,1.364,1.3711,1.3615,0.37%
2021年1月13日,1.3637,1.3667,1.3701,1.3612,-0.19%
2021年1月12日,1.3663,1.3521,1.3671,1.3504,1.10%
2021年1月11日,1.3514,1.3567,1.3568,1.3451,-0.36%
2021年1月8日,1.3563,1.3565,1.3636,1.3538,0.00%
2021年1月7日,1.3563,1.3608,1.3634,1.3532,-0.32%
2021年1月6日,1.3607,1.3626,1.3672,1.3539,-0.12%
2021年1月5日,1.3624,1.3572,1.3642,1.3554,0.41%
2021年1月4日,1.3569,1.3665,1.3705,1.3541,-0.75%
2021年1月1日,1.3671,1.3672,1.3683,1.3672,-0.01%
2020年12月31日,1.3673,1.3624,1.3687,1.3605,0.37%
2020年12月30日,1.3622,1.3503,1.3627,1.3493,0.90%
2020年12月29日,1.35,1.345,1.3524,1.3447,0.38%
2020年12月28日,1.3449,1.3546,1.3577,1.3429,-0.73%
2020年12月25日,1.3548,1.3557,1.3591,1.355,-0.05%
2020年12月24日,1.3555,1.3496,1.3621,1.3489,0.47%
2020年12月23日,1.3492,1.3362,1.3572,1.3352,0.99%
2020年12月22日,1.336,1.3465,1.347,1.3304,-0.77%
2020年12月21日,1.3463,1.3475,1.3498,1.3189,-0.42%
2020年12月18日,1.352,1.3586,1.3592,1.3471,-0.46%
2020年12月17日,1.3582,1.351,1.3626,1.3494,0.56%
2020年12月16日,1.3507,1.346,1.3554,1.3434,0.34%
2020年12月15日,1.3461,1.3323,1.347,1.328,1.04%
2020年12月14日,1.3322,1.3281,1.3447,1.3274,0.75%
2020年12月11日,1.3223,1.3296,1.3326,1.3134,-0.53%
2020年12月10日,1.3293,1.3403,1.3414,1.3246,-0.77%
2020年12月9日,1.3396,1.3355,1.3478,1.335,0.32%
2020年12月8日,1.3353,1.3378,1.3393,1.329,-0.17%
2020年12月7日,1.3376,1.3449,1.3449,1.3225,-0.45%
2020年12月4日,1.3437,1.3447,1.3541,1.3411,-0.11%
2020年12月3日,1.3452,1.3361,1.35,1.3353,0.67%
2020年12月2日,1.3363,1.3423,1.3442,1.3287,-0.39%
